"Atoms and Photons and Quanta, Oh My!: Ask the Physicist about Atomic, Nuclear, and Quantum Physics",Morgan & Claypool Publishers,9781681740515,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
Augmented Reality with Unity AR Foundation,Packt,,,Learn to Program by Developing Games with Unity
Aurelia in Action,Manning Publications,9781617292392,,Web & iPhone Mobile Apps
Auto Repair For Dummies,Wiley,9781119543619,,Humble Book Bundle: DIY Home & Hobby by Wiley
AutoCAD 2019 3D Modelling,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
AutoCAD 2019 Beginning and Intermediate,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
AutoCAD 2021 3D Modeling,"Walter De Gruyter, Inc.",[Not on page],,STEM Productivity Library by Mercury
AutoCAD 2023 Beginning and Intermediate,"Walter De Gruyter, Inc. / Mercury Learning",9781683928478,,Humble Tech Book Bundle: STEM Bootcamp by Mercury Learning
AutoDesk Revit 2021 Architecture,"Walter De Gruyter, Inc. / Mercury Learning",9781683925767,,Humble Tech Book Bundle: STEM Bootcamp by Mercury Learning
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,No Starch Press,,,Coder's Bookshelf by No Starch Press
Automating DevOps with GitLab CI/CD Pipelines,Packt Publishing,9781803233000,,CI/CD Mastery for Cloud Infrastructure
"Autotools, 2nd Edition: A Practitioner's Guide to GNU Autoconf, Automake, and Libtool",No Starch Press,978-1-71850-218-5,,Humble Tech Book Bundle: Linux by No Starch Press
Awakening Compassion at Work: The Quiet Power That Elevates People and Organizations,Berrett-Koehler,9781626564459,,Humble Leadership by Berrett-Koehler
AWS Certified Cloud Practitioner Study Guide: CLF-C01 Exam,Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
AWS Certified Data Analytics Study Guide: Specialty (DAS-C01) Exam,Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
AWS Certified Security - Specialty (SCS-C02) Exam Guide,Packt Publishing,9781837633982,,CI/CD Mastery for Cloud Infrastructure
AWS Certified Security – Specialty Exam Guide,Packt,[Inside eBook],,Humble Book Bundle: Cybersecurity 2021
AWS Certified Solutions Architect Study Guide: Associate SAA-C02 Exam,Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
"AWS Certified SysOps Administrator Study Guide: Associate (SOA-C01) Exam, 2nd Edition",Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
AWS Penetration Testing,Packt,[Inside eBook],,Humble Book Bundle: Cybersecurity 2021
AWS System Administration,O'Reilly Media,9781449342579,,DevOps by O'Reilly
Azure Architecture Explained,Packt Publishing,9781837634811,,CI/CD Mastery for Cloud Infrastructure
Azure DevOps Explained,Packt,9781800563513,,The Ultimate DevOps Bundle
Azure for Developers (Second Edition),Packt Publishing,9781803240091,,CI/CD Mastery for Cloud Infrastructure
Azure Machine Learning Engineering,Packt,,,Machine Learning and AI 2023
Baby Afghans to Knit and Crochet,Leisure Arts,9781574866506,,Humble Craft Bundle: Cozy Afghans and More
Back Pain Relief Plan,Callisto Publishing,9781646111824,,Humble Book Bundle: Health & Wellness
Backgammon For Dummies,Wiley,9780470228494,,Games & Puzzles by Wiley
Badass Braids,The Quarto Group,,,Humble Book Bundle: Return of the Cosplay
Bake Until Bubbly,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
Baker Bettie's Better Baking Book: Classic Baking Techniques and Recipes for Building Baking Confidence,Mango Media,9781642503180,,"Humble Book Bundle: Eat, Drink & Be Merry"
Baking Favorites,Insight Editions,9781681886039,,The Chef's Kitchen
Baking with Less Sugar,Chronicle Books,978-1452132334,,The Calculating Chef
Baldur's Gate II,Boss Fight Books,978-1-940535-15-9,,Humble Book Bundle: Video Game Histories
Balls on the Lawn,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Bang!: Masturbation for People of All Genders and Abilities,Microcosm,Not Supplied,,Humble Books Bundle: Unf*ck Your Life by Microcosm
Bar Tartine,Chronicle Books,978-1452126463,,The Calculating Chef
Barbecue Lover's Big Book of BBQ Sauces,The Quarto Group,9781558328143,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Bartending For Dummies,Wiley,9781118742495,,Humble Book Bundle: DIY Home & Hobby by Wiley
Baseline Shift,Princeton Architectural Press,9781648960062,,Graphic Design 101
bash Cookbook,O'Reilly,,,Humble Book Bundle: Programming Cookbooks 2021
"bash Cookbook, 2E",O'Reilly,9781491975336,,Humble Book Bundle: Coding Cookbooks by O'Reilly
Basho's Narrow Road: Spring and Autumn Passages,Stone Bridge Press,978-1880656310,,Japanese Culture & Language
Basic Electromagnetic Theory,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
Basic Electronics,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
Basic VLSI Design Technology,River Publishers,9788770224161,,"Humble Tech Book Bundle: Electronics, Circuits, and Science"
Bayesian Analysis with Python (Third Edition),Packt Publishing,9781805127161,,Humble Tech Book Bundle: Machine Learning Engineer Masterclass by Packt
Bayesian Programming,Taylor & Francis,9781439880326,,Data Science Essentials
"Bayesian Statistics the Fun Way: Understanding Statistics and Probability with Star Wars, LEGO, and Rubber Ducks",No Starch Press,978-1593279561,,Machine Learning Bookshelf
BBQ Revolution,The Quarto Group,9781592338009,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
